Date,Open,High,Low,Close,Adj Close,Volume
1,277.619995,284.880005,277.519989,282.109985,282.109985,5501600
2,282.98999,285.48999,277,278.480011,278.480011,4558800
3,279.5,281.410004,273.660004,281.100006,281.100006,3781300
4,280.459991,284.790009,278.630005,280.309998,280.309998,3766100
5,280.5,282.390015,277,279.200012,279.200012,3324600
6,274.369995,274.399994,249.130005,253.860001,253.860001,16455400
7,255.149994,262.459991,252.419998,260.73999,260.73999,8300100
8,262.410004,264.700012,259.5,261.380005,261.380005,5177700
9,263.359985,265.600006,262.320007,263.820007,263.820007,3692600
10,257.98999,261.429993,255.270004,259.320007,259.320007,6810900
11,255,256.019989,244.710007,250.029999,250.029999,8214100
12,245.220001,253.800003,245,250.410004,250.410004,5658700
13,251.119995,252.839996,247.039993,252.139999,252.139999,3749500
14,252.520004,254.960007,246.100006,246.949997,246.949997,4834200
15,248.25,249.729996,246.070007,246.600006,246.600006,3795400
16,244,248.639999,241.380005,245.259995,245.259995,4852700
17,246.919998,247.649994,240.119995,242.679993,242.679993,4238300
18,242.199997,242.660004,235.649994,240.240005,240.240005,5941700
19,250.199997,252.789993,245.360001,251.419998,251.419998,8998200
20,253.059998,256.5,251.029999,255.210007,255.210007,5406300
21,259.130005,262.48999,257.799988,260.619995,260.619995,7713300
22,258.529999,261.459991,255.729996,259.570007,259.570007,4485500
23,260.100006,262.880005,252.639999,259.279999,259.279999,5055100
24,262.25,265.540009,254.399994,257.01001,257.01001,7361300
25,244.639999,245.889999,235.199997,236.910004,236.910004,12888300
26,238.570007,238.960007,221,224.589996,224.589996,11268700
27,228.25,232.470001,223,227.059998,227.059998,7105300
28,220,230.990005,217.320007,229.699997,229.699997,9147300
29,219.720001,229.919998,219.100006,226.350006,226.350006,5399300
30,233.380005,234.770004,226.550003,227.479996,227.479996,10549400
31,226.720001,232.399994,225.509995,230.470001,230.470001,3494400
32,234.270004,235.389999,230.800003,235.339996,235.339996,4130300
33,233.190002,237.389999,230.559998,231.100006,231.100006,4116600
34,234.660004,236.279999,232,235.289993,235.289993,3492400
35,236.270004,237.800003,231.199997,235.240005,235.240005,3463300
36,234.25,234.610001,220.309998,221.669998,221.669998,9553300
37,229.600006,244.600006,228.25,242.770004,242.770004,10516300
38,241.130005,241.5,235.639999,238.100006,238.100006,4962500
39,238.139999,240.5,235.059998,238.660004,238.660004,3228400
40,242.509995,243.119995,238.75,241.699997,241.699997,3775300
41,243,247.559998,241.320007,242.589996,242.589996,4203800
42,240.490005,242.350006,236.529999,238.929993,238.929993,3682600
43,241,241.360001,230.529999,230.970001,230.970001,9045900
44,234.490005,246.690002,228.5,241.220001,241.220001,15354700
45,242.190002,242.839996,237.199997,240.199997,240.199997,5161000
46,239.110001,242.880005,236.800003,241.929993,241.929993,4577200
47,242.550003,251.820007,242,251.080002,251.080002,7948800
48,249.720001,252.339996,245.580002,249.100006,249.100006,5870800
49,250.619995,255.75,250.25,251.699997,251.699997,6236000
50,250,258.850006,248.5,258.679993,258.679993,6101100
51,257.48999,259,252.020004,253.979996,253.979996,4025700
52,255.860001,259.98999,255.509995,257.700012,257.700012,4473000
53,250.610001,251.880005,245.600006,247.740005,247.740005,7918500
54,247.949997,250.929993,246,248.710007,248.710007,3587200
55,252.210007,252.779999,242.169998,242.779999,242.779999,7485100
56,245.199997,247.600006,240.639999,246.720001,246.720001,4789700
57,247.350006,249.720001,246.089996,248.089996,248.089996,3159800
58,248.339996,249,246.600006,248.440002,248.440002,1981200
59,245.350006,246.690002,242.520004,244.520004,244.520004,2119700
60,241.160004,242.470001,229.009995,231.639999,231.639999,8619400
61,234.570007,234.880005,228,231.429993,231.429993,5887000
62,226.25,229.720001,225.5,229.300003,229.300003,5307700
63,228.600006,230.899994,227.809998,228.279999,228.279999,3855600
64,228.669998,229.389999,222.259995,223.710007,223.710007,6063600
65,221.539993,224.860001,212.339996,214.360001,214.360001,9225600
66,209.339996,217.729996,204.270004,216.889999,216.889999,9431500
67,214.130005,216.770004,207.699997,209.839996,209.839996,7314100
68,210.529999,215.429993,208.229996,208.880005,208.880005,6694400
69,204.820007,211.679993,204.5,207,207,7173800
70,209.289993,209.800003,202.669998,204.039993,204.039993,5218300
71,200.889999,203.679993,195.369995,197.809998,197.809998,8426100
72,193.059998,206.649994,192.649994,205.820007,205.820007,7367800
73,212.380005,218.440002,211.800003,218.259995,218.259995,7483300
74,220.190002,220.399994,214.5,219.289993,219.289993,6910500
75,220,224.059998,218.259995,222.600006,222.600006,4799400
76,223.809998,224.320007,219.520004,220.970001,220.970001,4505700
77,219.770004,222.5,219.25,222.259995,222.259995,1332200
78,221.509995,228.5,221.5,227.820007,227.820007,3327000
79,226.899994,227.910004,224.020004,225.710007,225.710007,2802500
80,223.990005,225.649994,221.399994,222.229996,222.229996,2903200
81,223.089996,225.679993,222.25,222.410004,222.410004,2402100
82,222.869995,223.25,213.259995,219.309998,219.309998,4764400
83,214.550003,216.5,207.160004,210.089996,210.089996,5368500
84,210.059998,214.199997,204.210007,211.279999,211.279999,6261900
